iter	Passed	Remaining
0	135	135535
1	136	68096
2	137	45642
3	138	34429
4	139	27705
5	140	23203
6	140	19977
7	141	17557
8	142	15677
9	143	14171
10	143	12943
11	144	11918
12	145	11063
13	146	10322
14	148	9730
15	149	9173
16	150	8683
17	151	8253
18	152	7866
19	153	7516
20	154	7192
21	155	6898
22	156	6629
23	156	6383
24	157	6155
25	158	5946
26	159	5754
27	160	5576
28	162	5432
29	163	5282
30	164	5134
31	165	4997
32	166	4887
33	167	4766
34	168	4650
35	169	4540
36	170	4434
37	171	4336
38	172	4241
39	173	4152
40	173	4069
41	174	3990
42	175	3912
43	176	3838
44	177	3767
45	178	3699
46	179	3634
47	180	3573
48	181	3516
49	182	3459
50	183	3405
51	184	3354
52	184	3304
53	185	3254
54	186	3206
55	187	3163
56	188	3122
57	189	3080
58	190	3039
59	191	2999
60	192	2960
61	193	2922
62	194	2887
63	195	2855
64	196	2822
65	197	2789
66	197	2756
67	199	2727
68	200	2700
69	201	2672
70	202	2644
71	203	2616
72	203	2589
73	204	2563
74	205	2538
75	206	2513
76	207	2489
77	208	2465
78	209	2442
79	210	2421
80	211	2400
81	212	2378
82	212	2353
83	213	2332
84	214	2311
85	215	2291
86	216	2272
87	217	2252
88	218	2235
89	219	2217
90	220	2200
91	221	2183
92	222	2166
93	223	2150
94	224	2134
95	225	2119
96	226	2104
97	227	2090
98	227	2074
99	228	2060
100	229	2045
101	230	2030
102	231	2017
103	232	2004
104	233	1991
105	234	1978
106	235	1965
107	236	1953
108	237	1941
109	238	1929
110	239	1918
111	240	1907
112	241	1896
113	242	1884
114	243	1873
115	244	1862
116	245	1850
117	246	1839
118	246	1828
119	247	1817
120	248	1807
121	249	1795
122	250	1786
123	251	1776
124	252	1766
125	253	1757
126	254	1746
127	255	1737
128	256	1728
129	256	1719
130	257	1709
131	258	1700
132	259	1691
133	260	1682
134	261	1674
135	262	1665
136	263	1657
137	264	1650
138	265	1643
139	266	1635
140	267	1628
141	268	1619
142	268	1611
143	269	1604
144	271	1599
145	272	1591
146	273	1584
147	273	1576
148	274	1569
149	275	1562
150	276	1555
151	277	1548
152	278	1541
153	279	1534
154	280	1527
155	281	1521
156	282	1514
157	282	1507
158	283	1501
159	285	1496
160	285	1489
161	286	1482
162	287	1476
163	288	1470
164	289	1464
